labid,Sat_w,pHw,pHCaCl,pHKCl,CE_susp,CE_sat,C_Ox,0CaCO3,CEC,Ca,Mg,Na,K,Total_bases,Sat,ESP,co3,clay,silt,sand18,sand30,sand60,sand140,sand200,sand260
64793,43.7,7.05,6,5.89,0.22,0.53,0.27,0,26,14.3,3.3,1.2,1.7,20.5,78.8,4.6,,28.6,56.8,0,0.2,0.4,0.8,6.1,7.1
64794,47,7.98,7.18,7,0.27,0.68,0.05,0,20.4,12.3,2.9,0.7,1.9,17.8,87.3,3.4,,19,58,0,0,0,1.1,8.2,13.7
64796,43.3,6.3,5.39,5.23,0.13,0.32,1.35,0,22.9,11.2,2.4,0.7,1.8,16.1,70.3,3.1,,21.6,63.2,0,0,0.2,0.4,4.8,9.8
64797,40.3,6.9,5.44,4.9,0.16,0.39,0.49,0,26.3,14.8,3.7,1,2.6,22.1,84,3.9,,31.2,59.8,0,0,0.2,0.5,3.8,4.5
64798,40.3,5.68,4.83,4.45,0.19,0.33,1.51,0,18.1,8.7,2.2,0.4,1.5,12.8,70.7,2.2,,22.7,61.6,0,0,0,0.1,7.3,8.3
64799,47,5.95,5.78,5.21,0.3,0.67,0.38,0,30.1,15.8,4,0.5,2.2,22.5,74.8,1.7,,32.3,61.2,0,0.3,0.5,0.9,1.9,2.9
64801,40.3,8,6.55,6,0.07,0.2,0.07,0,14.6,7.8,2.4,0.9,1.7,12.8,87.7,6.2,,15.8,40,0,0.1,0.2,1,18.4,24.5
64803,43.7,7.35,6.39,6.17,0.12,0.36,0.05,0,18.5,10.2,2.5,0.5,1.9,15.1,81.6,2.7,,19,52.3,0,0,0.1,2,12.1,14.5
64805,54.3,6.83,5.8,4.93,0.17,0.33,0.16,0,26.5,13.4,3.5,0.9,2,19.8,74.7,3.4,,28.2,58.7,0,0,0.2,0.9,4.1,7.9
64807,40.4,7.33,5.89,5.6,0.1,0.23,0.07,0,18.6,10.4,2.3,0.4,2.2,15.3,82.3,2.2,,14.9,39.8,0,0,0,2,19.1,24.2
